;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Load Cluster 0;86.150;86.942;85.286;84.768;86.127;91.574;101.873;171.993;244.921;295.237;294.037;284.136;262.482;255.420;236.538;233.222;213.662;200.974;178.442;144.842;115.381;97.908;91.844;87.705
Load Cluster 1;89.578;86.827;86.846;83.915;86.550;94.715;110.803;180.432;254.073;262.307;290.726;294.222;310.537;278.917;266.149;254.393;243.934;207.739;176.297;139.353;111.831;104.114;93.379;88.801
Load Cluster 2;79.778;86.829;85.746;85.790;86.071;90.781;103.723;171.187;249.847;304.499;323.444;312.590;296.329;276.598;257.978;232.632;208.699;204.662;165.562;145.482;113.323;94.765;89.104;87.820
Load Cluster 3;93.290;90.457;90.161;88.387;94.044;106.445;116.379;185.620;261.688;312.246;311.216;303.464;295.280;295.410;291.780;279.601;283.771;243.123;205.844;164.121;131.207;108.596;96.544;90.238
;;;;;;;;;;;;;;;;;;;;;;;;
PV Cluster 0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.033;24.396;76.832;152.625;183.909;60.101;69.634;38.083;39.475;75.109;7.205;0.000;0.000;0.000;0.000;0.000;0.000
PV Cluster 1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;9.988;72.053;76.046;177.645;180.567;283.029;277.225;172.003;115.201;22.954;4.476;0.368;0.000;0.000;0.000;0.000;0.000
PV Cluster 2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.786;25.557;46.407;53.696;53.360;37.037;33.246;15.929;1.404;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PV Cluster 3;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.442;59.783;97.420;111.303;143.202;138.385;150.750;143.015;66.002;42.154;12.658;0.190;0.000;0.000;0.000;0.000;0.000
;;;;;;;;;;;;;;;;;;;;;;;;
Load - PV Cluster 0;86.150;86.942;85.286;84.768;86.127;91.574;101.873;171.960;220.526;218.404;141.412;100.227;202.381;185.786;198.455;193.748;138.553;193.769;178.442;144.842;115.381;97.908;91.844;87.705
Load - PV Cluster 1;89.578;86.827;86.846;83.915;86.550;94.715;110.803;170.444;182.020;186.261;113.080;113.655;27.508;1.692;94.146;139.191;220.980;203.263;175.930;139.353;111.831;104.114;93.379;88.801
Load - PV Cluster 2;79.778;86.829;85.746;85.790;86.071;90.781;103.723;171.187;243.061;278.942;277.037;258.894;242.968;239.561;224.732;216.703;207.295;204.662;165.562;145.482;113.323;94.765;89.104;87.820
Load - PV Cluster 3;93.290;90.457;90.161;88.387;94.044;106.445;116.379;179.178;201.905;214.826;199.912;160.262;156.895;144.660;148.765;213.599;241.617;230.464;205.653;164.121;131.207;108.596;96.544;90.238
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.36;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.36;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.12;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 3;0.16;;;;;;;;;;;;;;;;;;;;;;;
