;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Load Cluster 0;94.237;96.191;93.632;91.608;94.463;97.707;107.610;166.826;207.094;226.740;232.768;226.469;226.869;217.775;197.094;164.923;144.999;137.917;119.496;111.440;107.201;103.867;98.227;94.316
Load Cluster 1;94.222;93.891;89.263;94.187;93.981;97.468;114.942;197.761;252.967;291.483;319.999;339.220;347.011;370.978;345.253;320.432;333.062;308.634;246.770;183.034;144.189;110.525;100.786;97.212
Load Cluster 2;90.007;90.423;90.754;87.146;92.695;96.297;109.121;185.602;254.295;259.550;277.691;273.416;273.517;262.376;226.669;203.085;182.021;158.050;140.443;117.004;107.389;100.581;94.209;93.007
;;;;;;;;;;;;;;;;;;;;;;;;
PV Cluster 0;0.000;0.000;0.000;0.000;0.000;0.000;9.208;49.506;143.127;214.766;293.770;336.113;353.752;356.108;349.443;318.537;225.457;168.840;48.887;0.000;0.000;0.000;0.000;0.000
PV Cluster 1;0.000;0.000;0.000;0.000;0.000;0.000;11.365;58.443;146.261;234.959;301.167;345.414;354.990;378.018;361.602;326.970;252.393;160.109;55.316;0.667;0.076;0.000;0.000;0.000
PV Cluster 2;0.000;0.000;0.000;0.000;0.000;0.000;8.927;40.613;133.787;141.653;238.164;327.621;294.670;358.999;316.980;212.626;199.675;76.864;15.988;1.773;0.000;0.000;0.000;0.000
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Load-PV Cluster 0;94.237;96.191;93.632;91.608;94.463;97.707;98.402;117.320;63.967;11.974;-61.002;-109.645;-126.883;-138.332;-152.349;-153.614;-80.458;-30.923;70.609;111.440;107.201;103.867;98.227;94.316
Load-PV Cluster 1;94.222;93.891;89.263;94.187;93.981;97.468;103.576;139.318;106.706;56.524;18.831;-6.194;-7.979;-7.040;-16.349;-6.538;80.669;148.526;191.454;182.367;144.113;110.525;100.786;97.212
Load-PV Cluster 2;90.007;90.423;90.754;87.146;92.695;96.297;100.194;144.989;120.508;117.898;39.527;-54.205;-21.153;-96.622;-90.311;-9.541;-17.655;81.185;124.454;115.232;107.389;100.581;94.209;93.007
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.167;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.500;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.333;;;;;;;;;;;;;;;;;;;;;;;
