Cod_comp;Fecha;Demanda;Fotovoltaica
2022-04-01h01;2022-04-01;81.768;0
2022-04-01h02;2022-04-01;85.046;0
2022-04-01h03;2022-04-01;85.089;0
2022-04-01h04;2022-04-01;83.511;0
2022-04-01h05;2022-04-01;86.359;0
2022-04-01h06;2022-04-01;94.768;0
2022-04-01h07;2022-04-01;108.581;0
2022-04-01h08;2022-04-01;193.832;14.144
2022-04-01h09;2022-04-01;255.102;87.4028
2022-04-01h10;2022-04-01;286.635;134.599
2022-04-01h11;2022-04-01;286.943;225.056
2022-04-01h12;2022-04-01;278.711;259.159
2022-04-01h13;2022-04-01;260.158;235.171
2022-04-01h14;2022-04-01;253.124;305.118
2022-04-01h15;2022-04-01;218.784;306.041
2022-04-01h16;2022-04-01;165.01;240.94
2022-04-01h17;2022-04-01;141.717;193.691
2022-04-01h18;2022-04-01;119.156;114.056
2022-04-01h19;2022-04-01;113.405;14.9783
2022-04-01h20;2022-04-01;107.397;0
2022-04-01h21;2022-04-01;107.392;0
2022-04-01h22;2022-04-01;101.453;0
2022-04-01h23;2022-04-01;92.158;0
2022-04-01h24;2022-04-01;91.191;0
2022-04-08h01;2022-04-08;91.68;0
2022-04-08h02;2022-04-08;90.278;0
2022-04-08h03;2022-04-08;91.165;0
2022-04-08h04;2022-04-08;91.697;0
2022-04-08h05;2022-04-08;92.37;0
2022-04-08h06;2022-04-08;102.286;0
2022-04-08h07;2022-04-08;116.632;6.55398
2022-04-08h08;2022-04-08;217.57;34.2059
2022-04-08h09;2022-04-08;298.226;123.601
2022-04-08h10;2022-04-08;315.209;221.633
2022-04-08h11;2022-04-08;305.559;312.364
2022-04-08h12;2022-04-08;289.268;358.69
2022-04-08h13;2022-04-08;289.146;390.482
2022-04-08h14;2022-04-08;263.057;369.503
2022-04-08h15;2022-04-08;223.108;277.943
2022-04-08h16;2022-04-08;163.848;201.39
2022-04-08h17;2022-04-08;125.753;90.8504
2022-04-08h18;2022-04-08;115.631;53.7956
2022-04-08h19;2022-04-08;114.642;10.6355
2022-04-08h20;2022-04-08;109.225;0
2022-04-08h21;2022-04-08;109.586;0
2022-04-08h22;2022-04-08;101.117;0
2022-04-08h23;2022-04-08;97.29;0
2022-04-08h24;2022-04-08;95.596;0
2022-04-19h01;2022-04-19;97.77;0
2022-04-19h02;2022-04-19;96.255;0
2022-04-19h03;2022-04-19;96.544;0
2022-04-19h04;2022-04-19;95.053;0
2022-04-19h05;2022-04-19;95.873;0
2022-04-19h06;2022-04-19;100.657;0
2022-04-19h07;2022-04-19;107.854;7.99152
2022-04-19h08;2022-04-19;173.743;37.684
2022-04-19h09;2022-04-19;244.281;141.171
2022-04-19h10;2022-04-19;274.829;244.244
2022-04-19h11;2022-04-19;280.877;312.75
2022-04-19h12;2022-04-19;274.857;372.205
2022-04-19h13;2022-04-19;281.119;303.997
2022-04-19h14;2022-04-19;258.388;317.721
