Cod_comp;Fecha;Demanda;Fotovoltaica
2022-06-21h01;2022-06-21;91.069;0
2022-06-21h02;2022-06-21;91.652;0
2022-06-21h03;2022-06-21;90.665;0
2022-06-21h04;2022-06-21;91.683;0
2022-06-21h05;2022-06-21;90.31;0
2022-06-21h06;2022-06-21;95.028;0
2022-06-21h07;2022-06-21;123.513;12.7817
2022-06-21h08;2022-06-21;211.039;66.0872
2022-06-21h09;2022-06-21;293.306;149.289
2022-06-21h10;2022-06-21;349.75;231.368
2022-06-21h11;2022-06-21;403.713;291.582
2022-06-21h12;2022-06-21;413.114;329.132
2022-06-21h13;2022-06-21;449.754;337.982
2022-06-21h14;2022-06-21;476.163;344.177
2022-06-21h15;2022-06-21;435.715;321.757
2022-06-21h16;2022-06-21;360.713;299.56
2022-06-21h17;2022-06-21;308.607;249.892
2022-06-21h18;2022-06-21;275.65;172.54
2022-06-21h19;2022-06-21;230.464;81.2551
2022-06-21h20;2022-06-21;186.606;5.05348
2022-06-21h21;2022-06-21;140.284;0
2022-06-21h22;2022-06-21;110.534;0
2022-06-21h23;2022-06-21;107.955;0
2022-06-21h24;2022-06-21;106.49;0
2022-06-28h01;2022-06-28;105.921;0
2022-06-28h02;2022-06-28;101.109;0
2022-06-28h03;2022-06-28;97.65;0
2022-06-28h04;2022-06-28;96.987;0
2022-06-28h05;2022-06-28;96.127;0
2022-06-28h06;2022-06-28;100.246;0
2022-06-28h07;2022-06-28;115.55;9.30895
2022-06-28h08;2022-06-28;190.61;45.5038
2022-06-28h09;2022-06-28;255.978;144.382
2022-06-28h10;2022-06-28;300.527;236.544
2022-06-28h11;2022-06-28;340.969;301.704
2022-06-28h12;2022-06-28;409.331;346.917
2022-06-28h13;2022-06-28;442.513;365.709
2022-06-28h14;2022-06-28;467.62;366.659
2022-06-28h15;2022-06-28;426.611;364.188
2022-06-28h16;2022-06-28;366.705;326.362
2022-06-28h17;2022-06-28;324.328;266.05
2022-06-28h18;2022-06-28;298.441;184.434
2022-06-28h19;2022-06-28;270.926;81.215
2022-06-28h20;2022-06-28;172.397;5.4008
2022-06-28h21;2022-06-28;140.928;0
2022-06-28h22;2022-06-28;113.134;0
2022-06-28h23;2022-06-28;105.459;0
2022-06-28h24;2022-06-28;107.596;0
2022-06-29h01;2022-06-29;104.602;0
2022-06-29h02;2022-06-29;102.586;0
2022-06-29h03;2022-06-29;100.393;0
2022-06-29h04;2022-06-29;98.484;0
2022-06-29h05;2022-06-29;98.815;0
2022-06-29h06;2022-06-29;104.505;0
2022-06-29h07;2022-06-29;126.061;9.47251
2022-06-29h08;2022-06-29;200.072;44.5264
2022-06-29h09;2022-06-29;272.825;140.306
2022-06-29h10;2022-06-29;326.791;231.039
2022-06-29h11;2022-06-29;376.941;301.381
2022-06-29h12;2022-06-29;411.497;352.262
2022-06-29h13;2022-06-29;454.069;376.161
2022-06-29h14;2022-06-29;495.441;375.428
2022-06-29h15;2022-06-29;462.65;358.893
2022-06-29h16;2022-06-29;395.234;321.952
2022-06-29h17;2022-06-29;358.442;264.888
2022-06-29h18;2022-06-29;310.134;190.687
2022-06-29h19;2022-06-29;259.526;88.474
2022-06-29h20;2022-06-29;216.904;6.32064
2022-06-29h21;2022-06-29;161.851;0
2022-06-29h22;2022-06-29;115.832;0
2022-06-29h23;2022-06-29;108.72;0
2022-06-29h24;2022-06-29;110.004;0
2022-06-30h01;2022-06-30;108.425;0
2022-06-30h02;2022-06-30;103.773;0
2022-06-30h03;2022-06-30;98.846;0
2022-06-30h04;2022-06-30;97.919;0
2022-06-30h05;2022-06-30;80.142;0
2022-06-30h06;2022-06-30;100.019;0
2022-06-30h07;2022-06-30;126.118;8.22436
2022-06-30h08;2022-06-30;219.735;42.4306
2022-06-30h09;2022-06-30;313.667;138.725
2022-06-30h10;2022-06-30;364.343;229.978
