;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Load Cluster 0;74.202;77.623;78.280;78.551;78.318;79.479;102.449;243.620;363.558;409.541;396.250;364.829;327.307;278.333;241.948;212.456;198.093;167.033;140.955;109.493;92.036;85.063;82.540;76.921
Load Cluster 1;78.187;76.753;76.822;76.491;75.959;84.387;109.062;267.425;402.112;460.268;453.215;427.445;408.500;376.177;323.473;271.370;233.195;191.979;167.535;130.890;111.161;84.945;80.323;76.838
Load Cluster 2;76.760;70.930;70.489;70.831;71.008;76.037;104.826;260.325;361.483;406.999;399.629;392.041;369.190;337.014;309.739;283.847;258.243;210.099;155.501;122.939;100.994;81.484;79.079;86.005
;;;;;;;;;;;;;;;;;;;;;;;;
PV Cluster 0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;31.222;145.188;238.921;300.297;340.501;338.827;301.939;240.751;188.151;55.844;0.000;0.000;0.000;0.000;0.000;0.000
PV Cluster 1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;26.423;126.301;226.530;275.933;300.063;329.501;307.141;246.836;155.589;24.667;1.430;0.000;0.000;0.000;0.000;0.000
PV Cluster 2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;19.288;120.682;225.346;253.552;200.392;158.465;200.551;193.293;102.477;19.017;0.000;0.000;0.000;0.000;0.000;0.000
;;;;;;;;;;;;;;;;;;;;;;;;
Load-PV Cluster 0;74.202;77.623;78.280;78.551;78.318;79.479;102.449;243.620;332.336;264.353;157.329;64.532;-13.194;-60.494;-59.991;-28.295;9.942;111.189;140.955;109.493;92.036;85.063;82.540;76.921
Load-PV Cluster 1;78.187;76.753;76.822;76.491;75.959;84.387;109.062;267.425;375.689;333.967;226.685;151.512;108.438;46.676;16.332;24.534;77.606;167.312;166.104;130.890;111.161;84.945;80.323;76.838
Load-PV Cluster 2;76.760;70.930;70.489;70.831;71.008;76.037;104.826;260.325;342.195;286.317;174.284;138.489;168.798;178.549;109.189;90.555;155.766;191.082;155.501;122.939;100.994;81.484;79.079;86.005
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.533333333;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.333333333;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.133333333;;;;;;;;;;;;;;;;;;;;;;;
