Cod_comp;Fecha;Demanda;Fotovoltaica
2022-01-10h01;2022-01-10;66.514;0
2022-01-10h02;2022-01-10;65.856;0
2022-01-10h03;2022-01-10;64.974;0
2022-01-10h04;2022-01-10;65.657;0
2022-01-10h05;2022-01-10;66.012;0
2022-01-10h06;2022-01-10;74.915;0
2022-01-10h07;2022-01-10;105.228;0
2022-01-10h08;2022-01-10;254.981;0
2022-01-10h09;2022-01-10;364.009;22.9586
2022-01-10h10;2022-01-10;393.686;114.12
2022-01-10h11;2022-01-10;398.27;212.867
2022-01-10h12;2022-01-10;383.094;269.28
2022-01-10h13;2022-01-10;366.106;190.198
2022-01-10h14;2022-01-10;336.508;164.09
2022-01-10h15;2022-01-10;314.433;242.659
2022-01-10h16;2022-01-10;262.649;228.143
2022-01-10h17;2022-01-10;247.305;128.469
2022-01-10h18;2022-01-10;187.599;5.06976
2022-01-10h19;2022-01-10;159.938;0
2022-01-10h20;2022-01-10;121.68;0
2022-01-10h21;2022-01-10;94.827;0
2022-01-10h22;2022-01-10;77.505;0
2022-01-10h23;2022-01-10;77.174;0
2022-01-10h24;2022-01-10;86.861;0
2022-01-17h01;2022-01-17;76.095;0
2022-01-17h02;2022-01-17;75.725;0
2022-01-17h03;2022-01-17;75.934;0
2022-01-17h04;2022-01-17;76.007;0
2022-01-17h05;2022-01-17;75.631;0
2022-01-17h06;2022-01-17;79.777;0
2022-01-17h07;2022-01-17;112.435;0
2022-01-17h08;2022-01-17;267.239;0
2022-01-17h09;2022-01-17;382.047;22.773
2022-01-17h10;2022-01-17;465.552;118.802
2022-01-17h11;2022-01-17;462.93;214.004
2022-01-17h12;2022-01-17;426.862;278.231
2022-01-17h13;2022-01-17;402.688;309.112
2022-01-17h14;2022-01-17;371.413;317.31
2022-01-17h15;2022-01-17;334.391;300.767
2022-01-17h16;2022-01-17;272.46;242.126
2022-01-17h17;2022-01-17;255.678;135.619
2022-01-17h18;2022-01-17;198.006;9.48171
2022-01-17h19;2022-01-17;168.94;0
2022-01-17h20;2022-01-17;128.849;0
2022-01-17h21;2022-01-17;110.202;0
2022-01-17h22;2022-01-17;77.897;0
2022-01-17h23;2022-01-17;79.134;0
2022-01-17h24;2022-01-17;78.522;0
2022-01-18h01;2022-01-18;76.464;0
2022-01-18h02;2022-01-18;80.869;0
2022-01-18h03;2022-01-18;76.883;0
2022-01-18h04;2022-01-18;74.687;0
2022-01-18h05;2022-01-18;74.493;0
2022-01-18h06;2022-01-18;75.094;0
2022-01-18h07;2022-01-18;86.892;0
2022-01-18h08;2022-01-18;230.427;0
2022-01-18h09;2022-01-18;408.007;22.842
2022-01-18h10;2022-01-18;483.163;120.063
2022-01-18h11;2022-01-18;434.493;213.622
2022-01-18h12;2022-01-18;402.314;289.756
2022-01-18h13;2022-01-18;384.711;322.75
2022-01-18h14;2022-01-18;355.995;320.41
2022-01-18h15;2022-01-18;316.235;298.306
2022-01-18h16;2022-01-18;281.527;245.257
2022-01-18h17;2022-01-18;248.207;133.617
2022-01-18h18;2022-01-18;186.617;8.59169
2022-01-18h19;2022-01-18;158.546;0
2022-01-18h20;2022-01-18;136.469;0
2022-01-18h21;2022-01-18;106.261;0
2022-01-18h22;2022-01-18;75.853;0
2022-01-18h23;2022-01-18;89.19;0
2022-01-18h24;2022-01-18;79.255;0
2022-01-25h01;2022-01-25;80.478;0
